# _tick,_time,train_seconds,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size
0,1635402185.89837,10.0,2560,-0.06999999284744263,40.38125228881836,-883.4306640625,-953.8297119140625,74.66612243652344,-4.267115592956543,21
1,1635402187.351293,10.0,5120,21.717506408691406,41.54961013793945,2825.038330078125,2540.832763671875,288.5319519042969,-4.326386451721191,29
2,1635402189.106342,10.0,7680,17.09000015258789,37.79140853881836,516.7681274414062,507.55078125,13.426590919494629,-4.209229469299316,29
3,1635402190.7175918,10.0,10240,12.346248626708984,44.27773666381836,-967.8636474609375,-1036.158447265625,72.20231628417969,-3.907515525817871,20
4,1635402193.2057843,15.1,12800,39.31500244140625,104.8695297241211,193.38197326660156,186.089111328125,11.568207740783691,-4.275343418121338,32
5,1635402194.5988123,15.1,15360,80.94503021240234,113.017578125,-1214.8194580078125,-1278.70703125,68.2351303100586,-4.347506046295166,26
6,1635402195.918893,15.1,17920,115.79335021972656,125.13555145263672,562.4730834960938,552.3394165039062,14.329988479614258,-4.196378231048584,26
7,1635402197.613433,20.1,20480,93.48001098632812,132.3000030517578,-1269.726806640625,-1348.3760986328125,82.81175994873047,-4.162497043609619,25
8,1635402199.593252,20.1,23040,93.2750244140625,169.16954040527344,542.6060180664062,533.6707763671875,13.26040267944336,-4.325159549713135,21
9,1635402201.0666924,20.1,25600,130.800048828125,173.85508728027344,-1291.612548828125,-1374.05224609375,86.56558227539062,-4.12587308883667,31
10,1635402202.3930862,25.1,28160,157.5,222.7578125,197.24179077148438,198.81944274902344,2.598229169845581,-4.175886154174805,26
11,1635402203.920109,25.1,30720,194.41506958007812,182.859375,-1315.3089599609375,-1400.62548828125,89.5479736328125,-4.231502532958984,24
12,1635402205.7793498,25.1,33280,167.68504333496094,217.23672485351562,154.34547424316406,156.36752319335938,2.3210270404815674,-4.343074321746826,18
13,1635402208.0101292,30.2,35840,178.74668884277344,275.8492126464844,-1487.6614990234375,-1599.515380859375,116.07150268554688,-4.217609405517578,21
14,1635402210.2743533,30.2,38400,222.81602478027344,264.40313720703125,105.28742218017578,107.4920883178711,2.0333566665649414,-4.238020420074463,30
15,1635402211.9687254,35.2,40960,312.28662109375,246.99453735351562,-1189.70263671875,-1267.48974609375,81.91399383544922,-4.126862525939941,23
16,1635402214.0243049,35.2,43520,265.8800354003906,305.2914123535156,-6.276251792907715,-3.5263309478759766,1.3707895278930664,-4.120710372924805,21
17,1635402215.9376729,35.2,46080,319.280029296875,314.3121032714844,328.3431701660156,324.4901428222656,7.7404632568359375,-3.887423276901245,24
18,1635402217.7216055,40.2,48640,162.74803161621094,295.5894470214844,-541.059814453125,-563.24169921875,25.955196380615234,-3.7733311653137207,25
19,1635402219.3007479,40.2,51200,257.5382995605469,277.109375,527.724853515625,514.2325439453125,17.621700286865234,-4.129419803619385,30
20,1635402223.809142,45.2,56320,286.2581787109375,342.06134033203125,514.7166137695312,502.2288513183594,16.542484283447266,-4.054746627807617,26
21,1635402225.5966036,45.2,58880,289.8601989746094,366.9398498535156,-874.4033813476562,-946.8305053710938,75.99058532714844,-3.5634617805480957,24
22,1635402227.670591,50.2,61440,202.9200439453125,403.2425842285156,554.5860595703125,541.033447265625,17.44243049621582,-3.8898439407348633,32
23,1635402229.325307,50.2,64000,323.85870361328125,374.10235595703125,-791.807861328125,-848.7036743164062,60.45095443725586,-3.555122137069702,28
24,1635402230.6918917,50.2,66560,147.4650115966797,319.1007995605469,363.32208251953125,355.9830017089844,11.191816329956055,-3.852710485458374,16
25,1635402232.861246,55.2,69120,462.46502685546875,367.4465026855469,-868.9715576171875,-948.57666015625,83.30288696289062,-3.697732448577881,28
